model,term,coef,se_hc3,p_hc3,n,r2
baseline_hc3,const,0.5147653875330266,0.01814554596107672,4.9230534521370205e-177,124,0.8282553034187243
baseline_hc3,institutional_capacity_z,-0.03399495517372568,0.07585973360379958,0.6540600178333559,124,0.8282553034187243
baseline_hc3,imf_aipi_index_2023_z,0.40624900882847303,0.10359224713055783,8.795710437423357e-05,124,0.8282553034187243
baseline_hc3,access_assets_z,-0.013956231832419945,0.04322781311183676,0.7468065251974617,124,0.8282553034187243
baseline_hc3,log_population_z,-0.06063941531892171,0.023906673615767655,0.011196490094618417,124,0.8282553034187243
baseline_hc3,policy_intensity_z,0.06925258280733496,0.030130448481582955,0.021537599239278636,124,0.8282553034187243
ipw_logit_stabilized,const,0.5168384957540326,0.018444272135564606,8.858891246099068e-173,124,0.8262817362827812
ipw_logit_stabilized,institutional_capacity_z,-0.020006622458565618,0.07684121777598997,0.794583655474285,124,0.8262817362827812
ipw_logit_stabilized,imf_aipi_index_2023_z,0.38243915847313703,0.10618832288458945,0.0003163644882225565,124,0.8262817362827812
ipw_logit_stabilized,access_assets_z,-0.00377689246175791,0.04645752740305694,0.9352051630808224,124,0.8262817362827812
ipw_logit_stabilized,log_population_z,-0.05677446450508783,0.023186664783794688,0.014341953171091349,124,0.8262817362827812
ipw_logit_stabilized,policy_intensity_z,0.06605628026964724,0.030011283857898016,0.027732616611662333,124,0.8262817362827812
ipw_probit_stabilized,const,0.5174111946277519,0.018493609733340452,3.023705343857265e-172,124,0.8261783981306127
ipw_probit_stabilized,institutional_capacity_z,-0.01985925494566719,0.07682341675541977,0.7960170138337062,124,0.8261783981306127
ipw_probit_stabilized,imf_aipi_index_2023_z,0.3806806664979058,0.10698812280621989,0.00037346436722811614,124,0.8261783981306127
ipw_probit_stabilized,access_assets_z,-0.0026539241844396877,0.047240144571264235,0.9551988713138397,124,0.8261783981306127
ipw_probit_stabilized,log_population_z,-0.056185051587097454,0.02317939944040488,0.01535391135828564,124,0.8261783981306127
ipw_probit_stabilized,policy_intensity_z,0.0662284234267042,0.030025798846020985,0.027403801089331152,124,0.8261783981306127
heckman_style_imr_diagnostic,const,0.5039343014055956,0.020027613033689596,1.0451210502754363e-139,124,0.83000887827383
heckman_style_imr_diagnostic,institutional_capacity_z,-0.010898890354049201,0.08145880484759163,0.8935636175026274,124,0.83000887827383
heckman_style_imr_diagnostic,imf_aipi_index_2023_z,0.3938763635872554,0.10606990723901655,0.00020452095613763733,124,0.83000887827383
heckman_style_imr_diagnostic,access_assets_z,-0.014391051507175706,0.04245001033518388,0.7346008924672498,124,0.83000887827383
heckman_style_imr_diagnostic,log_population_z,-0.06492888820874446,0.023603990346980967,0.005945737358104187,124,0.83000887827383
heckman_style_imr_diagnostic,policy_intensity_z,0.06953721265830573,0.029971453768881464,0.020334669379426906,124,0.83000887827383
heckman_style_imr_diagnostic,inverse_mills_ratio,0.11033061246406009,0.1023474178954418,0.2810333376606565,124,0.83000887827383
