model,term,coef,se,z,p,n
logit_selection,const,6.698952589793683,1.63983393291903,4.085140851957512,4.405008693935442e-05,138
logit_selection,institutional_capacity_z,7.055660882723295,2.1361387634912288,3.3029974472219097,0.0009565725864395347,138
logit_selection,imf_aipi_index_2023_z,-2.0284437171440515,1.6343555642958674,-1.2411275498780279,0.21455863363754424,138
logit_selection,access_assets_z,0.10889806039153548,0.802920214049422,0.13562749882995534,0.8921157653949351,138
logit_selection,policy_intensity_z,-0.2597447667382044,0.8798976069617511,-0.29519885573401206,0.7678419760603332,138
logit_selection,log_population_z,-1.219166801109431,0.5537628979576509,-2.201604342952328,0.027693268892522487,138
probit_selection,const,3.8447858218304596,0.864592645336981,4.446933295774136,8.710487092398628e-06,138
probit_selection,institutional_capacity_z,3.9272818781183476,1.0677072076709513,3.678238612517325,0.00023485020250228972,138
probit_selection,imf_aipi_index_2023_z,-1.069030911480699,0.8975816299849074,-1.1910124670206035,0.23364869069675587,138
probit_selection,access_assets_z,0.02987230971863507,0.4575269372824161,0.06529082177339843,0.9479424499168854,138
probit_selection,policy_intensity_z,-0.11228723304009422,0.506522619333221,-0.2216825641230149,0.8245610042341429,138
probit_selection,log_population_z,-0.753517243045387,0.3163064432707608,-2.3822380450225933,0.017207769913464708,138
