k,resample,n_subsample,ari_with_full_on_subsample
2,1,110,0.9636206589874156
2,2,110,1.0
2,3,110,0.9635695248096355
2,4,110,0.927833686440678
2,5,110,0.9635922255719186
2,6,110,0.963628458853106
2,7,110,0.9636206589874156
2,8,110,0.8928364213664595
2,9,110,0.9279187206925574
2,10,110,0.963628458853106
2,11,110,1.0
2,12,110,0.9279377824790845
2,13,110,0.9636331873607524
2,14,110,0.8929053386805118
2,15,110,1.0
2,16,110,1.0
2,17,110,0.9636364496380229
2,18,110,0.9279374616570221
2,19,110,0.963628458853106
2,20,110,1.0
2,21,110,0.9279307237337732
2,22,110,0.9279307237337732
2,23,110,1.0
2,24,110,1.0
2,25,110,0.9277821699837241
2,26,110,1.0
2,27,110,1.0
2,28,110,0.963628458853106
2,29,110,0.9279395790298455
2,30,110,0.9636356240053018
2,31,110,1.0
2,32,110,1.0
2,33,110,0.963628458853106
2,34,110,0.9279187206925574
2,35,110,0.8575041988353137
2,36,110,0.963628458853106
2,37,110,0.9636356240053018
2,38,110,0.9279187206925574
2,39,110,0.9636206589874156
2,40,110,0.963628458853106
2,41,110,0.8585508962575986
2,42,110,0.9635922255719186
2,43,110,0.963628458853106
2,44,110,1.0
2,45,110,0.9636362472805302
2,46,110,0.963628458853106
2,47,110,0.963628458853106
2,48,110,0.9279187206925574
2,49,110,0.9636356240053018
2,50,110,0.8929118465325502
2,51,110,0.9279374616570221
2,52,110,0.963628458853106
2,53,110,0.8928921775298403
2,54,110,0.9636364496380229
2,55,110,0.8929053386805118
2,56,110,1.0
2,57,110,0.9636356240053018
2,58,110,0.9636089083285092
2,59,110,0.9279187206925574
2,60,110,0.8929118465325502
2,61,110,1.0
2,62,110,0.8928700681009445
2,63,110,0.9636356240053018
2,64,110,0.9279395790298455
2,65,110,0.9636089083285092
2,66,110,0.9636331873607524
2,67,110,0.9635695248096355
2,68,110,1.0
2,69,110,0.9636362472805302
2,70,110,0.9636356240053018
2,71,110,1.0
2,72,110,1.0
2,73,110,0.9279307237337732
2,74,110,0.9636206589874156
2,75,110,1.0
2,76,110,0.927940381032514
2,77,110,0.9279374616570221
2,78,110,0.963628458853106
2,79,110,0.9636206589874156
2,80,110,0.9633929165149203
3,1,110,0.9455811103755117
3,2,110,0.9753013671026741
3,3,110,0.9682789976390717
3,4,110,0.9746044053901981
3,5,110,0.937413218912796
3,6,110,0.9135328066444662
3,7,110,1.0
3,8,110,1.0
3,9,110,0.9744037629060783
3,10,110,0.9383254020275533
3,11,110,0.9763557325918455
3,12,110,0.9778975976533836
3,13,110,0.9443484347607283
3,14,110,1.0
3,15,110,0.9759559065849563
3,16,110,0.8856713709900149
3,17,110,0.9368952178585934
3,18,110,1.0
3,19,110,0.9777161271208434
3,20,110,1.0
3,21,110,0.9762448088956066
3,22,110,0.9682789976390717
3,23,110,1.0
3,24,110,0.9687292178858748
3,25,110,1.0
3,26,110,0.9461600208745883
3,27,110,1.0
3,28,110,1.0
3,29,110,0.9684978258813363
3,30,110,0.9132876664542428
3,31,110,0.9689739978714677
3,32,110,0.9775786105892852
3,33,110,0.9360568355986375
3,34,110,0.9445727973359038
3,35,110,1.0
3,36,110,0.9764724286811344
3,37,110,1.0
3,38,110,0.9678750987355051
3,39,110,0.9685047191301714
3,40,110,0.9687711870405344
3,41,110,0.9138338445331547
3,42,110,0.9432874889336798
3,43,110,1.0
3,44,110,0.9133464406029604
3,45,110,1.0
3,46,110,1.0
3,47,110,0.9682789976390717
3,48,110,0.9129303072930822
3,49,110,1.0
3,50,110,0.9682789976390717
3,51,110,0.9777872546208475
3,52,110,0.9441438981455471
3,53,110,0.9773920460925142
3,54,110,0.9757708835669923
3,55,110,0.9767218959423609
3,56,110,1.0
3,57,110,0.9373471258691223
3,58,110,0.9148839491103103
3,59,110,0.9687711870405344
3,60,110,0.9678623046225023
3,61,110,0.937769121149657
3,62,110,0.9142148553450591
3,63,110,0.9755297610413375
3,64,110,0.943569716943429
3,65,110,1.0
3,66,110,1.0
3,67,110,1.0
3,68,110,0.9682789976390717
3,69,110,0.9748375017143904
3,70,110,0.9767218959423609
3,71,110,0.9135241929344888
3,72,110,0.9685047191301714
3,73,110,0.9758819776741734
3,74,110,1.0
3,75,110,0.9682789976390717
3,76,110,0.9680914661304788
3,77,110,1.0
3,78,110,1.0
3,79,110,0.9766178066907882
3,80,110,0.9776806141461035
4,1,110,0.8157004640918745
4,2,110,0.9718562997507205
4,3,110,0.9798074927769885
4,4,110,1.0
4,5,110,1.0
4,6,110,0.878187404512218
4,7,110,1.0
4,8,110,0.8197187464398008
4,9,110,1.0
4,10,110,0.9064835892366433
4,11,110,0.9377451958652917
4,12,110,1.0
4,13,110,0.9790419625207463
4,14,110,1.0
4,15,110,1.0
4,16,110,0.9730271422816839
4,17,110,1.0
4,18,110,0.9625054997800088
4,19,110,0.9719060769071145
4,20,110,0.9802415549968583
4,21,110,1.0
4,22,110,1.0
4,23,110,0.6465065364888231
4,24,110,0.94902169797139
4,25,110,0.9715816577545868
4,26,110,0.6388879997439262
4,27,110,1.0
4,28,110,0.8699162025041789
4,29,110,0.8618218363828005
4,30,110,0.922264873094404
4,31,110,0.9501502720243119
4,32,110,0.974518096614456
4,33,110,0.6395295752175707
4,34,110,1.0
4,35,110,1.0
4,36,110,0.8195396989921874
4,37,110,0.6638932443727535
4,38,110,0.9709446447229813
4,39,110,0.9818710118061985
4,40,110,0.9437568496899071
4,41,110,0.964663581975185
4,42,110,0.9721089605408446
4,43,110,0.9732604240031021
4,44,110,0.972688288537672
4,45,110,0.972436578075742
4,46,110,0.8609381991921816
4,47,110,0.952530378768661
4,48,110,0.8825255313338161
4,49,110,0.6596202121531142
4,50,110,0.9605606347256174
4,51,110,0.9812407867655583
4,52,110,0.9720216297614566
4,53,110,0.9789926395395083
4,54,110,0.9351211821602406
4,55,110,0.9259785373710516
4,56,110,0.879837801713805
4,57,110,0.7644887471409532
4,58,110,0.78194712267783
4,59,110,0.6953747877741796
4,60,110,0.9529932208769749
4,61,110,0.8321998352545575
4,62,110,0.9660466907558647
4,63,110,0.971697015936854
4,64,110,0.8840267143441275
4,65,110,0.9747548270870219
4,66,110,1.0
4,67,110,1.0
4,68,110,1.0
4,69,110,0.9733300295245545
4,70,110,0.9777695115443742
4,71,110,0.9725273146583908
4,72,110,1.0
4,73,110,0.8304368187920131
4,74,110,0.9809998933954137
4,75,110,0.8130454604179691
4,76,110,1.0
4,77,110,0.706078101642051
4,78,110,1.0
4,79,110,1.0
4,80,110,0.9735363785405854
