model,outcome,term,coef,se_hc3,p_hc3,ci_lower,ci_upper,n,r2
BTI only,ms_ai_diffusion_q1_2026_pct,const,16.46177442812562,0.7823382278392363,2.7208068838619434e-98,14.928419677831824,17.99512917841941,114,0.3294334705119645
BTI only,ms_ai_diffusion_q1_2026_pct,bti_capacity_index_z,6.950876998215251,1.3386485237054855,2.0753506321437406e-07,4.327174103794787,9.574579892635715,114,0.3294334705119645
BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,const,18.654114201335236,1.0609115437560226,3.3191974559672697e-69,16.574765784790642,20.73346261787983,114,0.5499698076470045
BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,bti_capacity_index_z,1.8959259266068655,1.0928928077856088,0.08278021100501116,-0.24610461561578356,4.037956468829515,114,0.5499698076470045
BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,imf_aipi_index_2023_z,5.0679249314257655,2.2560631137352725,0.024681100237283038,0.6461224816553397,9.489727381196191,114,0.5499698076470045
BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,access_assets_z,2.8246448746281065,1.1720966348780546,0.015956550453956626,0.5273776838665256,5.1219120653896875,114,0.5499698076470045
BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,policy_intensity_z,-0.021775891447636808,0.8517039588236486,0.9796023552095965,-1.6910849762321734,1.6475331933368995,114,0.5499698076470045
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,const,19.71389986726985,1.1613376122860957,1.2539714439248087e-64,17.43771997329736,21.990079761242338,114,0.5943783004636105
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,institutional_capacity_z,7.631932996166346,2.462587926937006,0.001940757705315567,2.80534935060666,12.458516641726032,114,0.5943783004636105
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,bti_capacity_index_z,-1.097409420645441,1.197064850864361,0.3592735630516736,-3.4436134154983997,1.2487945742075177,114,0.5943783004636105
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,imf_aipi_index_2023_z,0.19286361875297242,2.3353033508300824,0.9341806463822964,-4.384246841849696,4.769974079355641,114,0.5943783004636105
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,access_assets_z,3.2425673932117927,1.125951969293043,0.003978704494503373,1.0357420850754795,5.449392701348106,114,0.5943783004636105
WGI + BTI + AIPI + access + policy,ms_ai_diffusion_q1_2026_pct,policy_intensity_z,0.43605295040186226,0.8484906159412282,0.6073106818250131,-1.226958098063152,2.0990639988668764,114,0.5943783004636105
BTI only,log_anthropic_per_capita_index,const,0.3659879703412253,0.0243410394268908,4.27590800500269e-51,0.3182804097182499,0.41369553096420075,100,0.4500630319021742
BTI only,log_anthropic_per_capita_index,bti_capacity_index_z,0.30793909147177717,0.04089405038937092,5.067487308305667e-14,0.22778822552664402,0.3880899574169103,100,0.4500630319021742
BTI + AIPI + access + policy,log_anthropic_per_capita_index,const,0.478919663014735,0.03076497734514223,1.2191824565220674e-54,0.4186214154330655,0.5392179105964044,100,0.7473062228052262
BTI + AIPI + access + policy,log_anthropic_per_capita_index,bti_capacity_index_z,0.06852897631697855,0.04054355903533716,0.09097907198872823,-0.010934939197355775,0.14799289183131287,100,0.7473062228052262
BTI + AIPI + access + policy,log_anthropic_per_capita_index,imf_aipi_index_2023_z,0.26456054555990854,0.07998091642035719,0.000940333215474388,0.10780082992550022,0.42132026119431687,100,0.7473062228052262
BTI + AIPI + access + policy,log_anthropic_per_capita_index,access_assets_z,0.05576637822195734,0.03434662692595076,0.10445377694912256,-0.011551773543339812,0.1230845299872545,100,0.7473062228052262
BTI + AIPI + access + policy,log_anthropic_per_capita_index,policy_intensity_z,0.023718394921009994,0.034523868695120724,0.49207365441108386,-0.043947144328416454,0.09138393417043644,100,0.7473062228052262
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,const,0.47622077523616,0.03410760637230164,2.647344475744895e-44,0.40937109514757997,0.5430704553247401,100,0.7479592391317029
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,institutional_capacity_z,-0.03306387601830397,0.0846409564968323,0.6960656886012755,-0.19895710236911676,0.13282935033250884,100,0.7479592391317029
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,bti_capacity_index_z,0.07819503745070128,0.05394837398714652,0.14721419516376844,-0.027541832588603418,0.18393190749000599,100,0.7479592391317029
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,imf_aipi_index_2023_z,0.2872371241918246,0.08165728545487683,0.0004354791513755096,0.12719178562495964,0.4472824627586896,100,0.7479592391317029
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,access_assets_z,0.054901626314560976,0.034486461799787226,0.1113900529355132,-0.012690596767238362,0.12249384939636032,100,0.7479592391317029
WGI + BTI + AIPI + access + policy,log_anthropic_per_capita_index,policy_intensity_z,0.021690600798751875,0.034016769309244764,0.5237052179922734,-0.04498104191777531,0.08836224351527906,100,0.7479592391317029
BTI only,ai_capability_conversion_gap_q1_2026_pct,const,-0.6746832456419612,0.6762448864260812,0.31842935597581623,-2.0000988677664595,0.6507323764825371,114,0.02112043217590509
BTI only,ai_capability_conversion_gap_q1_2026_pct,bti_capacity_index_z,1.2537507265119447,1.0428083780042119,0.22925392288668545,-0.790116137152941,3.2976175901768308,114,0.02112043217590509
BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,const,-0.44982913715897616,0.9738311660660879,0.6441408672010358,-2.3585031496711526,1.4588448753532004,114,0.12658890898410824
BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,bti_capacity_index_z,1.1350211837612745,1.132258095582442,0.3161309699735201,-1.0841639047842218,3.3542062723067705,114,0.12658890898410824
BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,imf_aipi_index_2023_z,4.083263831203123,2.008074415601882,0.042009849395387586,0.1475102983471177,8.019017364059128,114,0.12658890898410824
BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,access_assets_z,-4.372530193644041,1.0721738120209954,4.538736379824787e-05,-6.47395225037221,-2.2711081369158714,114,0.12658890898410824
BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,policy_intensity_z,-0.2132718651611583,0.8823830295602857,0.8090127288727965,-1.94271082366866,1.5161670933463436,114,0.12658890898410824
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,const,0.34188650449892066,1.0415274061666258,0.7427189193893986,-1.6994697004990864,2.3832427094969275,114,0.17542718134221524
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,institutional_capacity_z,5.7014554200648835,2.322215056100698,0.01408141511800158,1.149997545750855,10.252913294378912,114,0.17542718134221524
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,bti_capacity_index_z,-1.10115778272549,1.1442297349890873,0.33587017943537667,-3.3438068533439114,1.1414912878929315,114,0.17542718134221524
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,imf_aipi_index_2023_z,0.4413365818091862,2.3280745044724926,0.8496449199256133,-4.121605600282832,5.004278763901205,114,0.17542718134221524
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,access_assets_z,-4.060320087771385,1.0794191929434924,0.00016884437475900893,-6.1759428301619215,-1.944697345380848,114,0.17542718134221524
WGI + BTI + AIPI + access + policy,ai_capability_conversion_gap_q1_2026_pct,policy_intensity_z,0.12875036343230886,0.8722671798582913,0.8826550822360679,-1.5808618939862638,1.8383626208508814,114,0.17542718134221524
