wb_region,k3_label,n,mean_q1_broad,mean_gap
East Asia & Pacific,Capacity-constrained low-observability profile,4,7.8,-5.19056639742272
East Asia & Pacific,High-capacity integrated profile,5,41.1,9.38556962955191
East Asia & Pacific,Intermediate readiness-access profile,7,18.285714285714285,-1.6253848884200441
Europe & Central Asia,Capacity-constrained low-observability profile,2,7.8,-2.24527456061519
Europe & Central Asia,High-capacity integrated profile,18,36.22777777777778,4.506416436084621
Europe & Central Asia,Intermediate readiness-access profile,19,19.68421052631579,-5.56058644935397
Latin America & Caribbean,Capacity-constrained low-observability profile,7,13.142857142857142,-2.1563211321555174
Latin America & Caribbean,High-capacity integrated profile,1,22.7,-1.9413460245486969
Latin America & Caribbean,Intermediate readiness-access profile,14,19.964285714285715,-2.6369504952159315
Middle East & North Africa,Capacity-constrained low-observability profile,7,14.214285714285714,-1.475433459571267
Middle East & North Africa,High-capacity integrated profile,2,54.099999999999994,22.948725287614117
Middle East & North Africa,Intermediate readiness-access profile,8,23.5625,0.36588817117379224
North America,High-capacity integrated profile,2,34.3,2.6775470788374474
South Asia,Capacity-constrained low-observability profile,2,11.0,-2.4086837116815505
South Asia,Intermediate readiness-access profile,2,12.450000000000001,-5.201756334392437
Sub-Saharan Africa,Capacity-constrained low-observability profile,32,10.03125,1.664108382159684
Sub-Saharan Africa,Intermediate readiness-access profile,6,13.166666666666666,-2.2818326115486336
